,HandOut,Training
100,0.62,1.0
200,0.53,1.0
300,0.5466666666666666,1.0
400,0.565,1.0
500,0.54,1.0
600,0.57,1.0
700,0.5371428571428571,1.0
800,0.5375,1.0
900,0.5377777777777778,1.0
1000,0.542,1.0
1100,0.5345454545454545,1.0
1200,0.5533333333333333,1.0
1300,0.5415384615384615,1.0
1400,0.5742857142857143,1.0
1500,0.568,1.0
1600,0.57125,1.0
1700,0.5811764705882353,1.0
1800,0.5644444444444444,1.0
1900,0.5736842105263158,1.0
2000,0.576,1.0
2100,0.5933333333333334,1.0
2200,0.6054545454545455,1.0
2300,0.58,1.0
2400,0.575,1.0
2500,0.5784,1.0
2600,0.5784615384615385,1.0
2700,0.5585185185185185,1.0
2800,0.5621428571428572,1.0
2900,0.5220689655172414,1.0
3000,0.5673333333333334,1.0
3100,0.5561290322580645,1.0
3200,0.57125,1.0
3300,0.5606060606060606,1.0
3400,0.5770588235294117,1.0
3500,0.5765714285714286,1.0
3600,0.5605555555555556,1.0
3700,0.567027027027027,1.0
3800,0.5847368421052631,1.0
3900,0.5661538461538461,1.0
4000,0.5645,1.0
4100,0.5756097560975609,1.0
4200,0.6042857142857143,1.0
4300,0.5655813953488372,1.0
4400,0.5836363636363636,1.0
4500,0.5764444444444444,1.0
4600,0.55,0.9995652173913043
4700,0.5736170212765958,0.9995744680851064
4800,0.5654166666666667,0.9995833333333334
4900,0.5738775510204082,0.9995918367346939
5000,0.57,0.9996
5100,0.5705882352941176,0.9996078431372549
5200,0.5696153846153846,0.9996153846153846
5300,0.5584905660377358,0.9996226415094339
5400,0.5714814814814815,0.9996296296296296
5500,0.5636363636363636,0.9996363636363637
5600,0.5553571428571429,0.9996428571428572
5700,0.576140350877193,0.9996491228070176
5800,0.5675862068965517,0.9996551724137931
5900,0.5728813559322034,0.9996610169491525
6000,0.5756666666666667,0.9996666666666667
6100,0.5750819672131148,0.9996721311475409
6200,0.5838709677419355,0.9996774193548387
6300,0.5850793650793651,0.9996825396825397
6400,0.571875,0.9996875
6500,0.5778461538461539,0.9996923076923077
6600,0.5727272727272728,0.9996969696969698
6700,0.5704477611940298,0.9997014925373134
6800,0.58,0.9997058823529412
6900,0.568695652173913,0.9997101449275362
7000,0.5671428571428572,0.9997142857142857
7100,0.5861971830985916,0.9997183098591549
7200,0.5822222222222222,0.9997222222222222
7300,0.5747945205479452,0.9997260273972602
7400,0.5635135135135135,0.9997297297297297
7500,0.572,0.9997333333333334
7600,0.5842105263157895,0.9997368421052631
7700,0.5633766233766234,0.9997402597402597
7800,0.5702564102564103,0.9997435897435898
7900,0.5716455696202531,0.999746835443038
8000,0.57225,0.99975
8100,0.5795061728395061,0.9997530864197531
8200,0.5717073170731707,0.9997560975609756
8300,0.5686746987951807,0.9997590361445783
8400,0.57,0.9997619047619047
8500,0.5421176470588235,0.9997647058823529
8600,0.543953488372093,0.9997674418604651
8700,0.5363218390804597,0.9997701149425288
8800,0.5725,0.9997727272727273
8900,0.5528089887640449,0.9997752808988764
9000,0.5433333333333333,0.9997777777777778
9100,0.5503296703296703,0.9997802197802198
9200,0.5610869565217391,0.9997826086956522
9300,0.5567741935483871,0.9997849462365591
9400,0.5476595744680851,0.9997872340425532
9500,0.5562105263157895,0.9997894736842106
9600,0.565,0.9997916666666666
9700,0.5814432989690722,0.9997938144329896
9800,0.5757142857142857,0.9997959183673469
9900,0.5654545454545454,0.9997979797979798
10000,0.565,0.9998
10100,0.5586138613861387,0.9998019801980198
10200,0.5625490196078431,0.9998039215686274
10300,0.558252427184466,0.9998058252427184
10400,0.5657692307692308,0.9998076923076923
10500,0.5748571428571428,0.9998095238095238
10600,0.5581132075471699,0.999811320754717
10700,0.5622429906542056,0.9998130841121495
10800,0.6072222222222222,0.9998148148148148
10900,0.5939449541284404,0.9998165137614679
11000,0.5803636363636364,0.9998181818181818
11100,0.5895495495495495,0.9998198198198198
11200,0.5919642857142857,0.9998214285714285
11300,0.5812389380530973,0.9998230088495575
11400,0.5773684210526315,0.9998245614035087
11500,0.577391304347826,0.9998260869565218
11600,0.573103448275862,0.9998275862068966
11700,0.5697435897435897,0.9998290598290598
11800,0.5652542372881356,0.9998305084745762
11900,0.5640336134453782,0.9998319327731092
12000,0.5698333333333333,0.9998333333333334
12100,0.575702479338843,0.9998347107438017
12200,0.5698360655737705,0.9998360655737705
12300,0.5752845528455285,0.9998373983739838
12400,0.5841935483870968,0.9998387096774194
12500,0.57824,0.99984
12600,0.5828571428571429,0.9998412698412699
12700,0.5771653543307087,0.9998425196850393
12800,0.5584375,0.99984375
12900,0.5531782945736434,0.9998449612403101
13000,0.5503076923076923,0.9998461538461538
13100,0.5638167938931298,0.9998473282442748
13200,0.578030303030303,0.9998484848484849
13300,0.5696240601503759,0.9998496240601503
13400,0.5646268656716418,0.9998507462686567
13500,0.5657777777777778,0.9998518518518519
13600,0.5675,0.9998529411764706
13700,0.5775182481751825,0.9998540145985402
13800,0.5631884057971015,0.9998550724637681
13900,0.5730935251798561,0.9998561151079137
14000,0.5651428571428572,0.9998571428571429
14100,0.5563120567375887,0.9998581560283688
14200,0.5580281690140845,0.9998591549295774
14300,0.566013986013986,0.9998601398601399
14400,0.5670833333333334,0.9997222222222222
14500,0.5684137931034483,0.9997241379310344
14600,0.5547945205479452,0.9997260273972602
14700,0.5561904761904762,0.9997278911564625
14800,0.5537837837837838,0.9997297297297297
14900,0.5566442953020134,0.9997315436241611
15000,0.5646666666666667,0.9997333333333334
15100,0.5639735099337748,0.9997350993377483
15200,0.5525,0.9997368421052631
15300,0.5656209150326797,0.9997385620915032
15400,0.567012987012987,0.9997402597402597
15500,0.5605161290322581,0.9997419354838709
15600,0.5606410256410257,0.9997435897435898
15700,0.5606369426751593,0.9997452229299363
15800,0.570379746835443,0.999746835443038
15900,0.5674213836477987,0.999748427672956
16000,0.55225,0.99975
16100,0.5577639751552795,0.999751552795031
16200,0.5582716049382717,0.9996296296296296
16300,0.5406134969325154,0.9996319018404908
16400,0.5301219512195122,0.9996341463414634
16500,0.5336969696969697,0.9996363636363637
16600,0.5498795180722892,0.9996385542168674
16700,0.5532934131736527,0.9996407185628743
16800,0.5486904761904762,0.9996428571428572
16900,0.5628402366863905,0.9996449704142012
17000,0.5651764705882353,0.9996470588235294
17100,0.5614035087719298,0.9996491228070176
17200,0.5647674418604651,0.9996511627906977
17300,0.5587283236994219,0.9996531791907515
17400,0.5640229885057472,0.9996551724137931
17500,0.5587428571428571,0.9996571428571429
17600,0.5634090909090909,0.9996590909090909
17700,0.5680225988700565,0.9996610169491525
17800,0.5591011235955056,0.9996629213483146
17900,0.549608938547486,0.9996648044692737
18000,0.5457777777777778,0.9996666666666667
18100,0.5532596685082873,0.9996685082872928
18200,0.5543956043956044,0.9996703296703296
18300,0.5654644808743169,0.9996721311475409
18400,0.5631521739130435,0.9996739130434783
18500,0.567027027027027,0.9996756756756757
18600,0.5647311827956989,0.9996774193548387
18700,0.559144385026738,0.9996791443850267
18800,0.5603191489361702,0.9996808510638298
18900,0.5703703703703704,0.9996825396825397
19000,0.5608421052631579,0.9996842105263158
19100,0.5702617801047121,0.9996858638743455
19200,0.5642708333333334,0.9996875
19300,0.5619689119170984,0.9996891191709845
19400,0.5492783505154639,0.9996907216494846
19500,0.5621538461538461,0.9996923076923077
19600,0.5603061224489796,0.9996938775510205
19700,0.5701522842639594,0.9996954314720812
19800,0.5674747474747475,0.9996969696969698
19900,0.5803015075376884,0.9996984924623116
20000,0.5815,0.9997
20100,0.570547263681592,0.9997014925373134
20200,0.5591089108910892,0.9997029702970297
20300,0.5769458128078818,0.9997044334975369
20400,0.576078431372549,0.9997058823529412
20500,0.5777560975609756,0.9997073170731707
20600,0.566990291262136,0.9997087378640777
20700,0.5645410628019324,0.9997101449275362
20800,0.558076923076923,0.9997115384615385
20900,0.5666028708133971,0.9997129186602871
21000,0.5674285714285714,0.9997142857142857
21100,0.5734597156398105,0.9997156398104265
21200,0.5539622641509434,0.9997169811320755
21300,0.5747417840375587,0.9997183098591549
21400,0.5739252336448598,0.9997196261682243
21500,0.5665116279069767,0.9997209302325581
21600,0.572037037037037,0.9997222222222222
21700,0.571705069124424,0.9997235023041474
21800,0.5748623853211009,0.9997247706422019
21900,0.5738812785388128,0.9997260273972602
22000,0.5689090909090909,0.9997272727272727
22100,0.565158371040724,0.9997285067873303
22200,0.5727927927927928,0.9997297297297297
22300,0.5730044843049328,0.9997309417040359
22400,0.5744642857142858,0.9997321428571428
22500,0.5790222222222222,0.9997333333333334
22600,0.575929203539823,0.9997345132743363
22700,0.5767400881057269,0.9997356828193833
22800,0.5729824561403509,0.9997368421052631
22900,0.5699563318777292,0.9997379912663755
23000,0.5653913043478261,0.9997391304347826
23100,0.5713419913419914,0.9997402597402597
23200,0.5732758620689655,0.9997413793103448
23300,0.5752789699570815,0.9997424892703862
23400,0.5750427350427351,0.9997435897435898
23500,0.5658723404255319,0.9997446808510638
23600,0.5666101694915254,0.9997457627118644
23700,0.5733333333333334,0.999746835443038
23800,0.571764705882353,0.9997478991596639
23900,0.575397489539749,0.9997489539748954
24000,0.5716666666666667,0.99975
24100,0.5701244813278008,0.9997510373443983
24200,0.578099173553719,0.9997520661157024
24300,0.5815637860082304,0.9997530864197531
24400,0.5735245901639344,0.9997540983606558
24500,0.5770612244897959,0.9997551020408163
24600,0.571869918699187,0.9997560975609756
24700,0.5717408906882591,0.999757085020243
24800,0.5787096774193549,0.999758064516129
24900,0.5704417670682731,0.9997590361445783
25000,0.58352,0.99976
25100,0.5933067729083665,0.9997609561752988
25200,0.570952380952381,0.9997619047619047
25300,0.5698814229249012,0.9997628458498024
25400,0.5783464566929134,0.999763779527559
25500,0.5727058823529412,0.9997647058823529
25600,0.575390625,0.999765625
